id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm919106,Rising Phoenix,MOVIE,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.",2020,PG-13,105,"['documentation', 'sport']",['GB'],,tt10851618,8.1,1763.0,8.921,8.2
tm881162,Athlete A,MOVIE,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts.,2020,PG-13,104,"['documentation', 'crime', 'sport']",['US'],,tt11905462,7.6,11636.0,11.458,7.7
ts88469,Undercover,SHOW,Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.,2019,TV-MA,49,"['drama', 'crime', 'thriller']",['BE'],3.0,tt7263154,7.8,18213.0,21.865,7.8
tm120072,Let It Snow,MOVIE,"In a small town on Christmas Eve, a snowstorm brings together a group of young people. They soon find their friendships and love lives colliding, and come Christmas morning, nothing will be the same.",2019,PG-13,93,"['comedy', 'romance']",['US'],,tt1950235,5.8,23413.0,15.75,6.085
ts91034,Leila,SHOW,"In the forgotten margins of the segregated communities of a dystopian future, a woman searches for the daughter that she lost upon her arrest years ago.",2019,TV-MA,46,"['war', 'scifi', 'drama']",['IN'],1.0,tt9337588,5.0,9114.0,4.106,6.5
tm503508,Earthquake Bird,MOVIE,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.",2019,R,107,"['romance', 'thriller', 'crime', 'drama']","['JP', 'US', 'GB']",,tt8178486,6.0,15126.0,8.22,5.843
ts190452,Stolen Away,SHOW,"A man gets caught in Colombian customs with drugs, his goal is to end up in prison to contact who kidnapped his daughter years ago.",2020,TV-14,48,"['action', 'crime', 'drama', 'thriller']",['ES'],1.0,tt10064124,7.1,2507.0,11.749,7.053
ts90019,Bonding,SHOW,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,2019,TV-MA,17,"['comedy', 'drama']",['US'],2.0,tt7718088,7.1,16949.0,15.256,7.227
ts223589,"Sex, Explained",SHOW,"From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.",2020,TV-MA,22,['documentation'],['US'],1.0,tt11390530,6.9,3387.0,27.089,6.6
ts103702,Young Wallander,SHOW,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,2020,TV-MA,45,"['thriller', 'crime', 'drama']",['GB'],2.0,tt9359220,6.9,12454.0,27.489,7.173
ts223948,The Goop Lab,SHOW,"Leading with curiosity and keeping it real, Gwyneth Paltrow and her goop team look at psychedelics, energy work and other challenging wellness topics.",2020,TV-MA,33,"['documentation', 'reality']",['US'],1.0,tt11561206,2.6,3413.0,2.285,2.833
ts256783,We Are the Champions,SHOW,"Explore the quirkiest, most charming, and oddly inspirational competitions you never knew existed, and the determined, passionate, and incredibly skilled competitors who put it all on the line to become heroes in their own extraordinary worlds.",2020,TV-MA,32,['documentation'],['US'],1.0,tt12409154,7.1,1526.0,7.163,6.0
ts268560,The Uncanny Counter,SHOW,"A group of supernatural demon hunters known as ""Counters,"" each with unique abilities, disguise themselves as employees of a noodle restaurant, while tracking down evil spirits that terrorize the mortal world.",2020,TV-14,64,"['drama', 'action', 'fantasy', 'horror']",['KR'],2.0,tt13273826,8.1,7520.0,27.221,8.5
